Threads Time Nodes File
1 12.8277 1000 nodes_sources.txt
1 12.8482 1000 nodes_sources.txt
1 12.8399 1000 nodes_sources.txt
2 9.43861 1000 nodes_sources.txt
2 9.38811 1000 nodes_sources.txt
2 9.36478 1000 nodes_sources.txt
3 6.99631 1000 nodes_sources.txt
3 6.95709 1000 nodes_sources.txt
3 6.92294 1000 nodes_sources.txt
4 5.64363 1000 nodes_sources.txt
4 5.75747 1000 nodes_sources.txt
4 5.71419 1000 nodes_sources.txt
5 5.19557 1000 nodes_sources.txt
5 5.24676 1000 nodes_sources.txt
5 5.2159 1000 nodes_sources.txt
6 5.06267 1000 nodes_sources.txt
6 5.05058 1000 nodes_sources.txt
6 5.06674 1000 nodes_sources.txt
7 5.17911 1000 nodes_sources.txt
7 5.05817 1000 nodes_sources.txt
7 5.11501 1000 nodes_sources.txt
8 5.31878 1000 nodes_sources.txt
8 5.36403 1000 nodes_sources.txt
8 5.3324 1000 nodes_sources.txt
1 90.5457 10000 10k.txt
1 81.9603 10000 10k.txt
1 81.8739 10000 10k.txt
2 72.8271 10000 10k.txt
2 75.2914 10000 10k.txt
2 72.7137 10000 10k.txt
3 49.8274 10000 10k.txt
3 51.2768 10000 10k.txt
3 48.4208 10000 10k.txt
4 36.843 10000 10k.txt
4 36.7828 10000 10k.txt
4 37.926 10000 10k.txt
5 31.0784 10000 10k.txt
5 30.5978 10000 10k.txt
5 29.7656 10000 10k.txt
6 25.2475 10000 10k.txt
6 25.6266 10000 10k.txt
6 25.4406 10000 10k.txt
7 21.656 10000 10k.txt
7 21.3972 10000 10k.txt
7 22.0157 10000 10k.txt
8 19.2624 10000 10k.txt
8 19.4027 10000 10k.txt
8 18.8764 10000 10k.txt
9 17.0759 10000 10k.txt
9 17.2181 10000 10k.txt
9 17.29 10000 10k.txt
10 15.2497 10000 10k.txt
10 75.3765 10000 10k.txt
10 15.2677 10000 10k.txt
11 14.0105 10000 10k.txt
11 14.0056 10000 10k.txt
11 14.0657 10000 10k.txt
12 65.7704 10000 10k.txt
12 12.9188 10000 10k.txt
12 13.0419 10000 10k.txt
13 62.5054 10000 10k.txt
13 12.2663 10000 10k.txt
13 61.8454 10000 10k.txt
14 11.324 10000 10k.txt
14 84.8253 10000 10k.txt
14 199.619 10000 10k.txt
15 132.866 10000 10k.txt
15 170.748 10000 10k.txt
15 80.3534 10000 10k.txt
15 10.4425 10000 10k.txt
16 12.0189 10000 10k.txt
16 166.097 10000 10k.txt
16 11.8862 10000 10k.txt
